Date,HomeTeam,AwayTeam,outcome_by_HOME,AVERAGE_ODD_WIN,AVERAGE_ODD_DRAW,AVERAGE_ODD_OPPONENT_WIN,RANKINGHOME,RANKING AWAY,LAST_GAME_RHOMETEAM,LAST_GAME_RAWAYTEAM
4/20/16,Liverpool,Everton,W,6.757,3.623,4.599,6,11,1,1
4/20/16,Man United,Crystal Palace,W,6.629,3.802,6.155,4,10,1,-1
4/20/16,West Ham,Watford,W,6.65,3.841,5.742,12,20,1,0
4/21/16,Arsenal,West Brom,W,6.65,5.312,11.965,3,13,1,0
4/23/16,Aston Villa,Southampton,L,10.997,4.404,2.127,17,7,-1,1
4/23/16,Bournemouth,Chelsea,L,8.012,3.38,2.48,20,1,-1,-1
4/23/16,Liverpool,Newcastle,D,7.013,4.007,5.488,6,15,-1,0
4/23/16,Man City,Stoke,W,6.868,5.01,9.228,2,9,-1,0
4/24/16,Leicester,Swansea,W,6.946,3.419,4.906,14,8,0,0
4/24/16,Sunderland,Arsenal,D,9.192,3.954,2.096,16,3,1,0
4/25/16,Tottenham,West Brom,D,6.814,5.551,12.629,5,13,0,-1
4/30/16,Arsenal,Norwich,W,6.776,5.419,11.132,3,20,1,-1
4/30/16,Everton,Bournemouth,W,7.143,3.428,3.619,11,20,0,1
4/30/16,Newcastle,Crystal Palace,W,7.118,3.29,3.78,15,10,1,0
4/30/16,Stoke,Sunderland,D,7.627,3.162,2.755,9,16,1,1
4/30/16,Watford,Aston Villa,W,6.927,3.537,4.964,20,17,-1,-1
4/30/16,West Brom,West Ham,L,8.482,3.465,2.279,13,12,-1,1
5/1/16,Man United,Leicester,D,7.162,3.209,3.664,4,14,-1,-1
5/1/16,Southampton,Man City,W,7.668,3.287,2.667,7,2,1,-1
5/1/16,Swansea,Liverpool,W,7.977,3.366,2.435,8,6,-1,1
5/2/16,Chelsea,Tottenham,D,7.554,3.348,2.648,1,5,-1,-1
5/7/16,Aston Villa,Newcastle,D,10.165,4.197,2.075,17,15,1,1
5/7/16,Bournemouth,West Brom,D,7.301,3.266,4.02,20,13,1,-1
5/7/16,Crystal Palace,Stoke,W,7.384,3.261,3.649,10,9,1,1
5/7/16,Leicester,Everton,W,7.315,3.491,3.891,14,11,1,1
5/7/16,Norwich,Man United,L,9.188,3.639,2.177,20,4,0,-1
5/7/16,Sunderland,Chelsea,W,7.969,3.355,2.514,16,1,-1,0
5/7/16,West Ham,Swansea,L,7.077,4.208,6.927,12,8,-1,1
5/8/16,Liverpool,Watford,W,7.075,4.096,6.39,6,20,1,1
5/8/16,Man City,Arsenal,D,7.747,3.311,2.819,2,3,-1,-1
5/8/16,Tottenham,Southampton,L,7.349,3.408,3.681,5,7,-1,-1
5/10/16,West Ham,Man United,W,8.099,3.38,2.497,12,4,1,-1
5/11/16,Liverpool,Chelsea,D,7.36,3.471,3.564,6,1,1,1
5/11/16,Norwich,Watford,W,7.118,3.454,4.286,20,20,0,0
5/11/16,Sunderland,Everton,W,7.174,3.601,4.68,16,11,0,0
5/15/16,Arsenal,Aston Villa,W,7.593,7.376,16.204,3,17,0,1
5/15/16,Chelsea,Leicester,D,7.81,3.456,3.017,1,14,-1,0
5/15/16,Everton,Norwich,W,7.383,3.692,4.117,11,20,-1,0
5/15/16,Newcastle,Tottenham,W,9.534,3.91,2.087,15,5,1,-1
5/15/16,Southampton,Crystal Palace,W,7.312,4.75,8.238,7,10,1,1
5/15/16,Stoke,West Ham,W,8.666,3.537,2.307,9,12,-1,0
5/15/16,Swansea,Man City,D,10.855,4.778,2.028,8,2,0,1
5/15/16,Watford,Sunderland,D,7.645,3.465,3.429,20,16,1,1
5/15/16,West Brom,Liverpool,D,7.907,3.385,2.866,13,6,-1,-1
5/17/16,Man United,Bournemouth,W,7.295,3.742,4.753,4,20,0,-1
8/13/16,Burnley,Swansea,L,8.477,3.158,3.001,20,12,0,0
8/13/16,Crystal Palace,West Brom,L,8.256,3.117,3.913,15,14,0,0
8/13/16,Everton,Tottenham,D,8.956,3.316,2.498,11,3,0,0
8/13/16,Hull,Leicester,W,9.873,3.56,2.245,20,1,0,0
8/13/16,Man City,Sunderland,W,8.033,5.588,11.898,4,17,0,0
8/13/16,Middlesbrough,Stoke,D,8.481,3.099,3.213,20,9,0,0
8/13/16,Southampton,Watford,D,8.138,3.372,4.399,6,13,0,0
8/14/16,Arsenal,Liverpool,L,8.44,3.282,2.972,2,8,0,0
8/14/16,Bournemouth,Man United,L,10.217,3.705,2.138,16,5,0,0
8/15/16,Chelsea,West Ham,W,7.604,3.65,5.209,10,7,0,0
8/19/16,Man United,Southampton,W,7.959,3.962,6.882,5,6,1,1
8/20/16,Burnley,Liverpool,W,11.795,4.371,2.112,20,8,0,0
8/20/16,Leicester,Arsenal,D,8.92,3.44,2.52,1,2,-1,-1
8/20/16,Stoke,Man City,L,10.936,3.975,2.101,9,4,0,0
8/20/16,Swansea,Hull,L,8.107,3.332,4.715,12,20,-1,-1
8/20/16,Tottenham,Crystal Palace,W,7.974,4.092,7.115,3,15,0,-1
8/20/16,Watford,Chelsea,L,10.846,3.885,2.135,13,10,1,1
8/20/16,West Brom,Everton,L,8.967,3.18,2.621,14,11,1,-1
8/21/16,Sunderland,Middlesbrough,L,8.625,3.116,2.997,17,20,1,0
8/21/16,West Ham,Bournemouth,W,8.109,3.42,3.877,7,16,1,-1
8/27/16,Chelsea,Burnley,W,7.768,5.204,12.004,10,20,-1,-1
8/27/16,Crystal Palace,Bournemouth,D,8.286,3.167,3.121,15,16,1,0
8/27/16,Everton,Stoke,W,7.842,3.477,4.819,11,9,1,-1
8/27/16,Hull,Man United,L,12.562,4.779,2.184,20,5,1,0
8/27/16,Leicester,Swansea,W,7.853,3.449,4.837,1,12,-1,1
8/27/16,Southampton,Sunderland,D,7.792,3.559,5.71,6,17,-1,-1
8/27/16,Tottenham,Liverpool,D,8.44,3.341,2.928,3,8,1,1
8/27/16,Watford,Arsenal,L,10.482,3.95,2.119,13,2,0,-1
8/28/16,Man City,West Ham,W,7.553,5.368,9.549,4,7,0,-1
8/28/16,West Brom,Middlesbrough,D,8.433,3.009,3.006,14,20,1,1
9/10/16,Arsenal,Southampton,W,8.015,3.824,5.749,2,6,-1,0
9/10/16,Bournemouth,West Brom,W,8.277,3.099,3.903,16,14,1,0
9/10/16,Burnley,Hull,D,8.531,3.082,3.167,20,20,1,1
9/10/16,Liverpool,Leicester,W,8.189,3.662,5.118,8,1,0,-1
9/10/16,Man United,Man City,L,8.62,3.162,3.224,5,4,1,0
9/10/16,Middlesbrough,Crystal Palace,L,8.436,3.083,3.373,20,15,0,0
9/10/16,Stoke,Tottenham,L,10.332,3.737,2.141,9,3,0,-1
9/10/16,West Ham,Watford,L,8.176,3.318,4.213,7,13,0,-1
9/11/16,Swansea,Chelsea,D,11.274,4.151,2.083,12,10,0,0
9/12/16,Sunderland,Everton,L,9.459,3.462,2.283,17,11,0,0
9/16/16,Chelsea,Liverpool,L,8.587,3.329,3.221,10,8,1,-1
9/17/16,Everton,Middlesbrough,W,8.16,3.532,5.385,11,20,1,1
9/17/16,Hull,Arsenal,L,11.546,4.318,2.089,20,2,0,-1
9/17/16,Leicester,Burnley,W,7.989,3.926,7.033,1,20,-1,-1
9/17/16,Man City,Bournemouth,W,8.01,5.402,10.657,4,16,-1,0
9/17/16,West Brom,West Ham,W,8.691,3.145,2.784,14,7,-1,1
9/18/16,Crystal Palace,Stoke,W,8.39,3.222,3.791,15,9,1,1
9/18/16,Southampton,Swansea,W,8.056,3.479,5.165,6,12,0,0
9/18/16,Tottenham,Sunderland,W,8.092,4.86,9.407,3,17,0,0
9/18/16,Watford,Man United,W,11.4,4.277,2.083,13,5,1,-1
9/24/16,Arsenal,Chelsea,W,8.439,3.312,3.049,2,10,-1,0
9/24/16,Bournemouth,Everton,W,9.39,3.492,2.296,16,11,-1,-1
9/24/16,Liverpool,Hull,W,8.071,5.981,12.736,8,20,-1,1
9/24/16,Man United,Leicester,W,8.191,3.631,4.933,5,1,1,1
9/24/16,Middlesbrough,Tottenham,L,9.558,3.52,2.254,20,3,-1,1
9/24/16,Stoke,West Brom,D,8.385,3.172,3.203,9,14,-1,1
9/24/16,Sunderland,Crystal Palace,L,8.871,3.222,2.685,17,15,-1,1
9/24/16,Swansea,Man City,L,13.501,5.598,2.176,12,4,-1,1
9/25/16,West Ham,Southampton,L,8.849,3.255,2.707,7,6,0,1
9/26/16,Burnley,Watford,W,8.573,3.202,2.685,20,13,1,-1
9/30/16,Everton,Crystal Palace,D,7.875,3.61,4.688,11,15,0,-1
10/1/16,Hull,Chelsea,L,12.392,4.815,2.108,20,10,0,-1
10/1/16,Sunderland,West Brom,D,8.472,3.128,3.093,17,14,1,-1
10/1/16,Swansea,Liverpool,L,12.853,5.102,2.116,12,8,-1,1
10/1/16,Watford,Bournemouth,D,8.398,3.174,3.207,13,16,-1,0
10/1/16,West Ham,Middlesbrough,D,8.284,3.249,3.391,7,20,0,1
10/2/16,Burnley,Arsenal,L,13.944,5.482,2.24,20,2,1,-1
10/2/16,Leicester,Southampton,D,8.29,3.232,3.376,1,6,1,0
10/2/16,Man United,Stoke,D,7.977,4.979,9.229,5,9,1,-1
10/2/16,Tottenham,Man City,W,9.067,3.425,2.478,3,4,1,0
10/15/16,Arsenal,Swansea,W,7.235,5.483,10.547,2,12,-1,1
10/15/16,Bournemouth,Hull,W,7.354,3.334,4.5,16,20,-1,-1
10/15/16,Chelsea,Leicester,W,7.359,3.894,5.672,10,1,0,1
10/15/16,Crystal Palace,West Ham,L,7.569,3.3,3.489,15,7,1,-1
10/15/16,Man City,Everton,D,7.215,4.261,6.305,4,11,-1,0
10/15/16,Stoke,Sunderland,W,7.471,3.326,3.828,9,17,0,-1
10/15/16,West Brom,Tottenham,D,10.082,3.917,2.131,14,3,-1,0
10/16/16,Middlesbrough,Watford,L,7.654,3.116,3.393,20,13,1,1
10/16/16,Southampton,Burnley,W,7.161,4.341,8.64,6,20,1,1
10/17/16,Liverpool,Man United,D,7.491,3.288,3.398,8,5,-1,1
10/22/16,Arsenal,Middlesbrough,D,7.774,5.587,11.741,2,20,-1,-1
10/22/16,Bournemouth,Tottenham,D,9.745,3.633,2.2,16,3,1,0
10/22/16,Burnley,Everton,W,11.073,4.055,2.153,20,11,0,-1
10/22/16,Hull,Stoke,L,8.795,3.253,2.598,20,9,1,0
10/22/16,Leicester,Crystal Palace,W,8.053,3.267,3.735,1,15,1,1
10/22/16,Liverpool,West Brom,W,7.786,5.43,10.65,8,14,0,0
10/22/16,Swansea,Watford,D,8.268,3.216,3.202,12,13,0,1
10/22/16,West Ham,Sunderland,W,7.859,3.627,4.983,7,17,-1,0
10/23/16,Chelsea,Man United,W,8.178,3.174,3.47,10,5,-1,-1
10/23/16,Man City,Southampton,D,7.772,4.143,6.42,4,6,0,1
10/29/16,Crystal Palace,Liverpool,L,10.617,4.07,2.098,15,8,1,-1
10/29/16,Man United,Burnley,D,7.917,6.01,15.533,5,20,-1,-1
10/29/16,Middlesbrough,Bournemouth,W,8.616,3.064,3.085,20,16,0,-1
10/29/16,Sunderland,Arsenal,L,13.4,5.46,2.138,17,2,-1,1
10/29/16,Tottenham,Leicester,D,8.054,3.704,5.302,3,1,1,-1
10/29/16,Watford,Hull,W,8.083,3.45,4.913,13,20,1,1
10/29/16,West Brom,Man City,L,12.751,4.997,2.138,14,4,-1,0
10/30/16,Everton,West Ham,W,8.148,3.571,4.336,11,7,0,0
10/30/16,Southampton,Chelsea,L,9.137,3.338,2.479,6,10,1,1
10/31/16,Stoke,Swansea,W,7.956,3.385,3.647,9,12,-1,1
11/5/16,Bournemouth,Sunderland,L,7.497,3.741,5.23,16,17,-1,0
11/5/16,Burnley,Crystal Palace,W,8.655,3.292,2.473,20,15,-1,0
11/5/16,Chelsea,Everton,W,7.335,3.89,6.048,10,11,0,-1
11/5/16,Man City,Middlesbrough,D,7.507,6.138,13.306,4,20,-1,-1
11/5/16,West Ham,Stoke,D,7.718,3.338,3.736,7,9,1,1
11/6/16,Arsenal,Tottenham,D,7.677,3.326,3.921,2,3,1,1
11/6/16,Hull,Southampton,W,10.498,3.99,2.124,20,6,1,1
11/6/16,Leicester,West Brom,L,7.539,3.367,4.824,1,14,-1,1
11/6/16,Liverpool,Watford,W,7.456,5.349,10.615,8,13,0,-1
11/6/16,Swansea,Man United,L,10.084,4.051,2.082,12,5,1,-1
11/19/16,Crystal Palace,Man City,L,11.27,4.635,2.054,15,4,-1,0
11/19/16,Everton,Swansea,D,7.568,3.874,5.727,11,12,1,1
11/19/16,Man United,Arsenal,D,8.238,3.239,2.872,5,2,0,-1
11/19/16,Southampton,Liverpool,D,8.913,3.514,2.341,6,8,-1,-1
11/19/16,Stoke,Bournemouth,L,8,3.253,3.303,9,16,0,-1
11/19/16,Sunderland,Hull,W,7.786,3.186,3.6,17,20,-1,1
11/19/16,Tottenham,West Ham,W,7.548,4.052,6.322,3,7,-1,1
11/19/16,Watford,Leicester,W,8.408,3.211,2.732,13,1,1,1
11/20/16,Middlesbrough,Chelsea,L,11.325,4.453,2.11,20,10,-1,1
11/21/16,West Brom,Burnley,W,7.634,3.206,4.254,14,20,1,0
11/26/16,Burnley,Man City,L,13.4,6.299,2.247,20,4,-1,1
11/26/16,Chelsea,Tottenham,W,7.104,3.522,4.679,10,3,0,0
11/26/16,Hull,West Brom,D,8.14,3.184,2.62,20,14,0,-1
11/26/16,Leicester,Middlesbrough,D,7.267,3.344,4.269,1,20,1,1
11/26/16,Liverpool,Sunderland,W,7.329,7.015,15.282,8,17,1,1
11/26/16,Swansea,Crystal Palace,W,7.801,3.226,2.864,12,15,-1,-1
11/27/16,Arsenal,Bournemouth,W,7.086,4.571,7.49,2,16,-1,1
11/27/16,Man United,West Ham,D,7.202,4.206,6.734,5,7,-1,0
11/27/16,Southampton,Everton,W,7.358,3.213,3.497,6,11,0,0
11/27/16,Watford,Stoke,L,7.636,3.186,3.118,13,9,1,-1
12/3/16,Crystal Palace,Southampton,W,8.051,3.353,2.421,15,6,-1,-1
12/3/16,Man City,Chelsea,L,7.121,3.34,3.462,4,10,0,1
12/3/16,Stoke,Burnley,W,6.789,3.654,5.651,9,20,-1,-1
12/3/16,Sunderland,Leicester,W,8.018,3.338,2.431,17,1,1,1
12/3/16,Tottenham,Swansea,W,6.726,4.858,8.565,3,12,-1,-1
12/3/16,West Brom,Watford,W,7.124,3.161,3.558,14,13,1,1
12/3/16,West Ham,Arsenal,L,9.293,4.082,2.089,7,2,1,0
12/4/16,Bournemouth,Liverpool,W,9.238,4.011,2.081,16,8,-1,-1
12/4/16,Everton,Man United,D,8.273,3.468,2.309,11,5,1,1
12/5/16,Middlesbrough,Hull,W,6.757,3.319,4.757,20,20,-1,1
12/10/16,Arsenal,Stoke,W,7.305,4.765,8.22,2,9,0,1
12/10/16,Burnley,Bournemouth,W,8.612,3.402,2.404,20,16,0,0
12/10/16,Hull,Crystal Palace,D,8.573,3.324,2.472,20,15,0,0
12/10/16,Leicester,Man City,W,10.015,4.072,2.089,1,4,-1,-1
12/10/16,Swansea,Sunderland,W,7.704,3.295,3.41,12,17,-1,1
12/10/16,Watford,Everton,W,8.254,3.312,2.529,13,11,-1,0
12/11/16,Chelsea,West Brom,W,7.202,5.427,11.604,10,14,1,0
12/11/16,Liverpool,West Ham,D,7.238,5.358,9.652,8,7,0,0
12/11/16,Man United,Tottenham,W,7.481,3.236,3.398,5,3,-1,1
12/11/16,Southampton,Middlesbrough,W,7.138,3.429,5.497,6,20,0,1
12/13/16,Bournemouth,Leicester,W,7.657,3.301,3.02,16,1,1,0
12/13/16,Everton,Arsenal,W,9.097,3.755,2.164,11,2,0,0
12/14/16,Crystal Palace,Man United,L,9.782,4.09,2.093,15,5,-1,-1
12/14/16,Man City,Watford,W,7.127,5.714,10.649,4,13,-1,0
12/14/16,Middlesbrough,Liverpool,L,10.538,4.407,2.086,20,8,-1,1
12/14/16,Stoke,Southampton,D,8.178,3.224,2.556,9,6,0,1
12/14/16,Sunderland,Chelsea,L,13.472,5.945,2.25,17,10,0,1
12/14/16,Tottenham,Hull,W,7.147,5.769,12.39,3,20,-1,0
12/14/16,West Brom,Swansea,W,7.367,3.28,3.735,14,12,0,1
12/14/16,West Ham,Burnley,W,7.036,3.7,5.141,7,20,1,-1
12/17/16,Crystal Palace,Chelsea,L,10.883,4.387,2.078,15,10,-1,-1
12/17/16,Middlesbrough,Swansea,W,7.511,3.246,3.684,20,12,0,1
12/17/16,Stoke,Leicester,D,8.23,3.246,2.871,9,1,-1,0
12/17/16,Sunderland,Watford,W,8.241,3.187,2.889,17,13,1,-1
12/17/16,West Brom,Man United,L,10.515,3.881,2.147,14,5,-1,-1
12/17/16,West Ham,Hull,W,7.369,3.712,5.273,7,20,0,1
12/18/16,Bournemouth,Southampton,L,8.233,3.227,2.67,16,6,0,1
12/18/16,Man City,Arsenal,W,7.715,3.376,3.357,4,2,-1,0
12/18/16,Tottenham,Burnley,W,7.528,6.143,13.036,3,20,1,0
12/19/16,Everton,Liverpool,L,8.907,3.691,2.189,11,8,1,1
12/26/16,Arsenal,West Brom,W,7.302,4.83,8.956,2,14,0,0
12/26/16,Burnley,Middlesbrough,W,8.363,3.11,2.663,20,20,1,1
12/26/16,Chelsea,Bournemouth,W,7.424,4.455,7.944,10,16,1,1
12/26/16,Hull,Man City,L,13.828,6.165,2.235,20,4,-1,1
12/26/16,Leicester,Everton,L,8.145,3.238,2.941,1,11,-1,-1
12/26/16,Man United,Sunderland,W,7.502,5.733,13.112,5,17,0,-1
12/26/16,Swansea,West Ham,L,8.285,3.24,2.746,12,7,-1,1
12/26/16,Watford,Crystal Palace,D,8.007,3.201,2.97,13,15,-1,-1
12/27/16,Liverpool,Stoke,W,7.113,5.103,9.472,8,9,0,-1
12/28/16,Southampton,Tottenham,L,7.782,3.207,2.618,6,3,1,1
12/30/16,Hull,Everton,D,9.419,3.556,2.216,20,11,-1,0
12/31/16,Burnley,Sunderland,W,7.858,3.155,3.154,20,17,0,1
12/31/16,Chelsea,Stoke,W,7.453,5.421,11.535,10,9,1,1
12/31/16,Leicester,West Ham,W,7.539,3.357,3.525,1,7,-1,0
12/31/16,Liverpool,Man City,W,7.86,3.369,2.996,8,4,-1,0
12/31/16,Man United,Middlesbrough,W,7.327,5.341,13.473,5,20,0,1
12/31/16,Southampton,West Brom,L,7.399,3.356,5.012,6,14,-1,-1
12/31/16,Swansea,Bournemouth,L,8.19,3.357,2.62,12,16,0,1
1/1/17,Arsenal,Crystal Palace,W,7.293,5.04,8.829,2,15,-1,1
1/1/17,Watford,Tottenham,L,10.355,4.024,2.112,13,3,-1,1
1/2/17,Everton,Southampton,W,7.836,3.194,3.375,11,6,1,-1
1/2/17,Man City,Burnley,W,7.784,7.142,15.901,4,20,0,-1
1/2/17,Middlesbrough,Leicester,D,8.188,3.095,2.855,20,1,0,0
1/2/17,Sunderland,Liverpool,D,13.731,5.828,2.266,17,8,1,-1
1/2/17,West Brom,Hull,W,7.402,3.386,4.992,14,20,-1,-1
1/2/17,West Ham,Man United,L,10.529,4.169,2.094,7,5,-1,0
1/3/17,Bournemouth,Arsenal,D,9.561,3.805,2.123,16,2,1,1
1/3/17,Crystal Palace,Swansea,L,7.337,3.394,4.501,15,12,1,1
1/3/17,Stoke,Watford,W,7.733,3.309,4.143,9,13,0,0
1/4/17,Tottenham,Chelsea,W,7.861,3.27,2.63,3,10,-1,1
1/14/17,Burnley,Southampton,W,8.603,3.35,2.382,20,6,-1,-1
1/14/17,Hull,Bournemouth,W,8.432,3.436,2.401,20,16,0,1
1/14/17,Leicester,Chelsea,L,10.466,4.152,2.118,1,10,-1,1
1/14/17,Sunderland,Stoke,L,8.101,3.307,2.574,17,9,1,1
1/14/17,Swansea,Arsenal,L,11.14,4.831,2.061,12,2,-1,1
1/14/17,Tottenham,West Brom,W,7.056,4.817,9.89,3,14,1,0
1/14/17,Watford,Middlesbrough,D,7.8,3.092,3.1,13,20,-1,-1
1/14/17,West Ham,Crystal Palace,W,7.617,3.228,3.119,7,15,-1,1
1/15/17,Everton,Man City,W,9.486,3.891,2.123,11,4,-1,1
1/15/17,Man United,Liverpool,D,7.687,3.193,3.476,5,8,0,0
1/21/17,Bournemouth,Watford,D,7.483,3.466,4.244,16,13,1,1
1/21/17,Crystal Palace,Everton,L,8.476,3.361,2.457,15,11,-1,-1
1/21/17,Liverpool,Swansea,L,7.436,6.291,12.94,8,12,0,0
1/21/17,Man City,Tottenham,D,7.682,3.316,3.456,4,3,0,-1
1/21/17,Middlesbrough,West Ham,L,7.904,3.1,3.117,20,7,0,1
1/21/17,Stoke,Man United,D,10.582,4.295,2.09,9,5,1,0
1/21/17,West Brom,Sunderland,W,7.392,3.545,5.164,14,17,-1,1
1/22/17,Arsenal,Burnley,W,7.401,6.414,14.201,2,20,0,0
1/22/17,Chelsea,Hull,W,7.492,7.001,15.838,10,20,1,0
1/22/17,Southampton,Leicester,W,7.363,3.291,4.54,6,1,-1,-1
1/31/17,Arsenal,Watford,L,7.364,6.015,12.535,2,13,-1,1
1/31/17,Bournemouth,Crystal Palace,L,7.646,3.306,3.568,16,15,0,0
1/31/17,Burnley,Leicester,W,7.974,3.203,2.698,20,1,1,1
1/31/17,Liverpool,Chelsea,D,7.915,3.196,2.887,8,10,-1,-1
1/31/17,Middlesbrough,West Brom,D,7.946,3.01,2.971,20,14,-1,1
1/31/17,Sunderland,Tottenham,D,13.138,5.714,2.222,17,3,-1,1
1/31/17,Swansea,Southampton,W,8.454,3.349,2.42,12,6,-1,0
2/1/17,Man United,Hull,D,7.359,6.601,15.784,5,20,-1,1
2/1/17,Stoke,Everton,D,8.072,3.279,2.653,9,11,0,0
2/1/17,West Ham,Man City,L,10.518,4.546,2.042,7,4,0,1
2/4/17,Chelsea,Arsenal,W,7.352,3.354,3.886,10,2,-1,1
2/4/17,Crystal Palace,Sunderland,L,7.17,3.563,5.006,15,17,-1,0
2/4/17,Everton,Bournemouth,W,7.063,3.624,4.857,11,16,1,1
2/4/17,Hull,Liverpool,W,11.763,4.901,2.147,20,8,-1,-1
2/4/17,Southampton,West Ham,L,7.248,3.423,4.294,6,7,-1,1
2/4/17,Tottenham,Middlesbrough,W,7.084,5.27,11.506,3,20,0,0
2/4/17,Watford,Burnley,W,7.429,3.156,3.674,13,20,0,1
2/4/17,West Brom,Stoke,W,7.547,3.146,3.331,14,9,0,0
2/5/17,Leicester,Man United,L,10.096,4.064,2.127,1,5,-1,-1
2/5/17,Man City,Swansea,W,7.197,6.326,11.967,4,12,1,1
2/11/17,Arsenal,Hull,W,6.66,5.32,10.406,2,20,-1,-1
2/11/17,Liverpool,Tottenham,W,6.962,3.233,3.3,8,3,-1,-1
2/11/17,Man United,Watford,W,6.457,5.627,11.791,5,13,1,1
2/11/17,Middlesbrough,Everton,D,7.99,3.355,2.325,20,11,-1,0
2/11/17,Stoke,Crystal Palace,W,6.848,3.202,3.624,9,15,0,1
2/11/17,Sunderland,Southampton,L,8.118,3.475,2.29,17,6,-1,1
2/11/17,West Ham,West Brom,D,6.934,3.172,3.424,7,14,0,-1
2/12/17,Burnley,Chelsea,D,11.695,5.169,2.192,20,10,1,0
2/12/17,Swansea,Leicester,W,7.075,3.171,3.073,12,1,1,0
2/13/17,Bournemouth,Man City,L,10.749,5.05,2.071,16,4,0,1
2/25/17,Chelsea,Swansea,W,7.123,5.744,12.118,10,12,-1,-1
2/25/17,Crystal Palace,Middlesbrough,W,7.525,3.057,3.845,15,20,0,1
2/25/17,Everton,Sunderland,W,6.972,4.514,7.436,11,17,0,-1
2/25/17,Hull,Burnley,D,7.46,3.121,3.58,20,20,1,-1
2/25/17,Watford,West Ham,D,7.785,3.174,2.863,13,7,-1,-1
2/25/17,West Brom,Bournemouth,W,7.384,3.26,3.722,14,16,0,0
2/26/17,Tottenham,Stoke,W,6.963,4.385,7.343,3,9,0,1
2/27/17,Leicester,Liverpool,W,10.062,4.249,2.096,1,8,1,1
3/4/17,Leicester,Hull,W,7.026,3.346,4.424,1,20,1,0
3/4/17,Liverpool,Arsenal,W,7.209,3.336,3.482,8,2,-1,1
3/4/17,Man United,Bournemouth,D,6.99,5.66,12.377,5,16,-1,0
3/4/17,Stoke,Middlesbrough,W,7.186,3.187,4.167,9,20,1,1
3/4/17,Swansea,Burnley,W,7.119,3.247,3.874,12,20,1,-1
3/4/17,Watford,Southampton,L,8.259,3.324,2.386,13,6,1,-1
3/4/17,West Brom,Crystal Palace,L,7.351,3.108,3.572,14,15,1,-1
3/5/17,Sunderland,Man City,L,13.86,6.632,2.339,17,4,0,1
3/5/17,Tottenham,Everton,W,6.927,3.719,5.122,3,11,1,-1
3/6/17,West Ham,Chelsea,L,10.144,4.295,2.086,7,10,-1,1
3/8/17,Man City,Stoke,D,6.961,5.804,11.981,4,9,-1,-1
3/11/17,Bournemouth,West Ham,W,7.458,3.309,2.791,16,7,0,-1
3/11/17,Everton,West Brom,W,6.571,3.548,5.325,11,14,1,1
3/11/17,Hull,Swansea,W,7.29,3.161,2.951,20,12,-1,1
3/12/17,Liverpool,Burnley,W,6.666,5.754,12.296,8,20,-1,-1
3/18/17,Bournemouth,Swansea,W,7.255,3.28,3.377,16,12,-1,-1
3/18/17,Crystal Palace,Watford,W,7.074,3.274,4.151,15,13,1,-1
3/18/17,Everton,Hull,W,6.744,3.931,6.381,11,20,1,0
3/18/17,Stoke,Chelsea,L,10.423,4.275,2.13,9,10,1,-1
3/18/17,Sunderland,Burnley,D,7.516,3.153,2.929,17,20,1,1
3/18/17,West Brom,Arsenal,W,9.55,4.066,2.098,14,2,1,1
3/18/17,West Ham,Leicester,L,7.463,3.29,3.15,7,1,1,1
3/19/17,Man City,Liverpool,D,7.121,3.462,3.701,4,8,-1,-1
3/19/17,Middlesbrough,Man United,L,10.019,3.99,2.143,20,5,-1,1
3/19/17,Tottenham,Southampton,W,6.943,3.558,5.012,3,6,-1,0
4/1/17,Burnley,Tottenham,L,9.946,4.055,2.116,20,3,1,-1
4/1/17,Chelsea,Crystal Palace,L,6.844,5.194,10.948,10,15,-1,-1
4/1/17,Hull,West Ham,W,7.583,3.262,2.945,20,7,-1,0
4/1/17,Leicester,Stoke,W,7.138,3.291,3.737,1,9,0,1
4/1/17,Liverpool,Everton,W,6.958,3.661,4.786,8,11,0,1
4/1/17,Man United,West Brom,D,6.842,4.596,9.04,5,14,1,1
4/1/17,Southampton,Bournemouth,D,6.91,3.734,5.24,6,16,-1,1
4/1/17,Watford,Sunderland,W,7.017,3.392,4.305,13,17,0,0
4/2/17,Arsenal,Man City,D,8.115,3.588,2.377,2,4,-1,0
4/2/17,Swansea,Middlesbrough,D,7.088,3.259,4.017,12,20,1,-1
4/4/17,Burnley,Stoke,W,7.337,3.057,3.165,20,9,0,1
4/4/17,Leicester,Sunderland,W,6.719,4.116,7.33,1,17,-1,1
4/4/17,Man United,Everton,D,6.871,3.814,5.974,5,11,-1,0
4/4/17,Watford,West Brom,W,7.378,3.107,3.042,13,14,-1,-1
4/5/17,Arsenal,West Ham,W,6.739,4.709,7.219,2,7,-1,-1
4/5/17,Chelsea,Man City,W,7.278,3.328,3.044,10,4,1,0
4/5/17,Hull,Middlesbrough,W,7.06,3.15,3.814,20,20,0,-1
4/5/17,Liverpool,Bournemouth,D,6.846,4.785,8.065,8,16,-1,0
4/5/17,Southampton,Crystal Palace,W,6.891,3.395,4.404,6,15,1,1
4/5/17,Swansea,Tottenham,L,9.478,4.035,2.09,12,3,1,1
4/8/17,Bournemouth,Chelsea,L,10.374,4.329,2.104,16,10,1,-1
4/8/17,Man City,Hull,W,7.073,6.516,13.717,4,20,-1,0
